FEN,Movimientos
2kRr3/2p3p1/2P1b1Np/1rn5/8/5P2/1B4PP/R5K1 b - - 1 27,e8d8 a1a8 b5b8 g6e7
3r2k1/5p1p/pQ4p1/1p2n3/8/1Nb5/P4PPP/5qK1 w - - 0 30,g1f1 d8d1 f1e2 d1e1
2r5/2p2R2/p2p3p/1p1P3k/1P2r1nP/6P1/1P6/5RK1 b - - 3 34,e4b4 f1f5 h5g6 h4h5
7k/p5pp/2p5/4PQ2/1p2P1P1/3r3K/PPq5/3RR3 w - - 1 35,h3h4 c2h2 h4g5 h2h6
2k5/B1p2ppp/6r1/3P1q2/1QP1p3/7P/5PK1/R3R3 w - - 1 30,g2f1 f5h3 f1e2 h3d3
r1bq2kr/pppnb1pp/5B2/4N3/4P3/8/PPP2PPP/RN1QK2R b KQ - 0 9,e7f6 d1d5 g8f8 d5f7
2Q5/p2n1pkp/6p1/8/1P1pNq1r/P7/R2R2P1/5K2 w - - 2 34,e4f2 h4h1 f1e2 f4e3
1k5r/pp2R3/2p5/2Pp4/1P4B1/8/P6p/6bK b - - 3 36,h8h4 e7e8 b8c7 e8c8
2r2r1k/pp4p1/3Q3p/3pB3/4b3/5N2/PP3qPP/R6K b - - 3 28,e4f3 d6h6 h8g8 h6g7
r3r1k1/5Rp1/p5Q1/4b3/P4p2/1nN1P3/6PP/6K1 w - - 0 32,e3f4 e5d4 g1f1 b3d2
4r1k1/4qppp/8/pp1BB3/3Q1P2/1P6/2r3PP/3R2K1 w - - 1 29,e5d6 e7e1 d1e1 e8e1
r3kb1r/5ppp/n1qp4/4p1B1/1p2B3/1Q4P1/PPP2P1P/3R1RK1 b kq - 0 17,c6e4 b3a4 e4c6 a4c6
8/R2n2R1/5p1k/1pB2b2/8/Q7/2Pq4/1K6 w - - 0 51,g7d7 d2c2 b1a1 c2b1
8/R5R1/6p1/P1K2p2/4r1kP/6P1/2r5/8 w - - 4 48,c5b6 e4b4 b6a6 c2c6
3Q2kr/4r1pp/b1p3q1/8/5R2/8/PpP2PPP/4R1K1 b - - 1 22,g6e8 d8e8 e7e8 e1e8
r2qk2r/1p2ppbp/2n5/p2pN3/3PpP2/P3P3/1P4PP/R1BQ1RK1 b kq - 1 13,f7f6 d1h5 e8f8 h5f7
