FEN,Movimientos
6rk/p6p/1p2ppr1/4Q3/3PRP2/q5P1/7P/4R1K1 w - - 0 27,e5e6 g6g3 h2g3 a3g3 g1f1 g3g2
2R5/5rkp/1p3p2/6pP/3pP3/p2P3Q/6PK/3q4 b - - 3 38,g5g4 h5h6 g7g6 c8g8 f7g7 g8g7
r6k/ppp3pp/4Q3/1b6/3P4/qPP3P1/P3N2r/1K1R3R b - - 2 23,h2e2 h1h7 h8h7 d1h1 e2h2 h1h2
2r5/p5bk/1q4pp/2R5/PPQ1p1n1/6P1/4PPBP/6K1 w - - 5 33,c5c8 b6f2 g1h1 f2e1 g2f1 e1f1
5rk1/ppb2rpp/2p5/8/4Nq2/1PQP1N1P/PBP3P1/5R1K w - - 7 24,a2a4 f4h2 f3h2 f7f1 h2f1 f8f1
5rk1/6r1/1p1R4/1Pp5/p1P5/P5pq/4QpP1/5R1K w - - 0 41,g2h3 g3g2 h1h2 g2g1q f1g1 f2g1q
r4k1r/3p1pp1/pbb5/1p3qNp/1P1p4/P5PP/2P1QP2/R1B1R1K1 b - - 2 20,f5d5 e2e7 f8g8 e7e8 a8e8 e1e8
R1b2rk1/6pp/2P1B3/5p2/4n1NQ/2P2qP1/1P3P1P/6K1 b - - 0 32,c8e6 a8f8 g8f8 h4d8 f8f7 g4e5
3r2k1/6p1/p3p2p/1p2n2Q/4B1R1/2q5/3r2PP/5RK1 b - - 5 27,e5g4 h5f7 g8h8 f7f8 d8f8 f1f8
r2k3r/pp6/2p1pN2/3p3p/3P3q/2P1P3/PP1BQ1Pb/R4R1K w - - 3 21,f1f3 h2g3 h1g1 h4h2 g1f1 h2h1
7k/6pp/p2r3r/3p1p2/2PPq3/P3P1PP/1P2QP1K/2R1R3 w - - 3 38,c4d5 h6h3 h2h3 d6h6 e2h5 h6h5
2k5/pp4p1/2p5/5q2/5B2/2Pr2Pp/PP3Q1P/5R1K w - - 2 31,f4c1 f5f2 f1f2 d3d1 f2f1 d1f1
6k1/pp2Rp1p/3p1npQ/3q2N1/8/P6P/1P3PPK/2r5 b - - 2 24,d5d1 e7e8 f6e8 h6h7 g8f8 h7f7
1r4k1/p1pQ2pp/4pq2/n7/1r4PP/2B5/2P5/3K1R1R b - - 0 28,f6c3 d7f7 g8h8 f7f8 b8f8 f1f8
r4rk1/ppp2q1p/2p3pn/3bR1B1/3P2Q1/2P5/PP3PPP/4R1K1 w - - 9 25,g5h6 f7f2 g1h1 f2f1 e1f1 f8f1
r6k/4RQbp/p2N2p1/2p1q3/P7/2PP4/6PP/5K2 b - - 2 32,e5c3 e7e8 a8e8 f7e8 g7f8 e8f8
r2qkb1r/1p1n2pp/p3p3/2ppNp2/3Pn3/2PBP2P/PP1B1PP1/R2QK2R w KQkq - 2 11,f2f4 d8h4 g2g3 h4g3 e1f1 g3f2
r2qkr2/p2bnp1Q/1pB5/2b3B1/8/5N2/PP4PP/RN2RK2 w q - 1 18,c6a8 d7b5 e1e2 d8d1 f3e1 d1e2
5rk1/3R1ppp/4pb2/1p6/1Q6/7P/q4PP1/2R3K1 b - - 3 25,a2a4 b4f8 g8f8 c1c8 f6d8 c8d8
r5k1/1p4r1/p2b1qQ1/2p5/3n2P1/3P4/PPP2PP1/R4RK1 w - - 0 22,g6f6 d4e2 g1h1 g7h7 f6h4 h7h4
2r3rk/pb3p1p/1p1p1PpQ/3Pp3/4q3/6R1/PP5P/5RK1 b - - 1 28,b7d5 h6h7 h8h7 g3h3 e4h4 h3h4
2r3k1/1b3ppp/p3n3/1p2q3/6Q1/1BN5/PP4PP/3R2K1 b - - 1 23,e6f4 g4c8 b7c8 d1d8 e5e8 d8e8
3r4/p3qpk1/1p1R2pp/2r1pN2/4n3/2P3P1/P2Q1P1P/3R2K1 b - - 2 27,g6f5 d2h6 g7g8 d6d8 e7d8 d1d8
R5k1/3b1r2/4p3/3pP1b1/2p1P3/5Q2/3q4/5K1R b - - 8 30,g8g7 h1h7 g7h7 f3f7 h7h6 a8h8
r1b1kQ2/p2p1ppp/4p3/3pP1q1/8/5RP1/PPP1B3/1K3R2 b - - 0 21,e8f8 f3f7 f8e8 f7f8 e8e7 f1f7
5rk1/p4pp1/1p1qp3/2p3R1/3r3P/1P3Q1K/P1P5/6R1 b - - 2 38,g7g6 g5g6 f7g6 g1g6 g8h8 f3h5
3Q4/6pk/p4rp1/1p1B3p/2p1P3/q1P3P1/5NKP/8 b - - 2 53,a3b2 d8g8 h7h6 g8h8 h6g5 h2h4
8/4Qp1k/q5p1/P3b2p/8/8/2r3PP/5RK1 b - - 1 42,a6a5 f1f7 e5g7 f7g7 h7h6 g7h7
2k3rr/ppp2p2/2n5/2b1p2p/4P1p1/P1B3K1/1PPNN1PP/R6R w - - 2 17,h2h3 h5h4 g3h2 g4g3 e2g3 h4g3
5rk1/5qp1/p6p/1p2r3/2n5/1Q6/PP2RPPP/4R1K1 w - - 5 30,e2e5 f7f2 g1h1 f2f1 e1f1 f8f1
8/2R5/2P5/6p1/5k2/7P/2r3K1/8 w - - 1 42,g2h1 f4g3 c7d7 c2c1 d7d1 c1d1
8/2R2p1p/p4kp1/Pb6/3BKPPP/8/8/3r4 b - - 12 37,f6e6 f4f5 g6f5 g4f5 e6d6 d4e5
1kb4r/7r/nQ3p2/3p4/P2N4/5Bq1/4P3/2R2K2 b - - 0 32,h7b7 d4c6 b8a8 b6a6 b7a7 a6a7
2r3k1/1q1bQppp/r3p3/1p2P3/2p1P3/2P1BP2/6PP/3R1RK1 b - - 4 25,d7c6 d1d8 c8d8 e7d8 c6e8 d8e8
3r2k1/R6p/p5p1/1p2B3/2p3P1/2P1n2P/PP1r4/5RK1 w - - 1 32,f1f7 d2g2 g1h1 d8d1 f7f1 d1f1
